Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,3,4,2015-01-26,100,0.0272,0.0219
0,A,4,4,2015-01-26,92,0.0294,0.0286
0,A,5,4,2015-01-26,60,0.0249,0.0264
0,A,1,5,2015-01-26,65,0.0190,0.0268
0,A,2,5,2015-01-26,97,0.0220,0.0281
0,A,3,5,2015-01-26,92,0.0210,0.0254
0,A,4,5,2015-01-26,91,0.0239,0.0220
0,A,5,5,2015-01-26,125,0.0138,0.0146
0,A,1,1,2015-01-27,84,0.0128,0.0104
0,A,2,1,2015-01-27,53,-0.0005,0.0125
0,A,3,1,2015-01-27,75,0.0054,0.0074
0,A,4,1,2015-01-27,111,0.0130,0.0062
0,A,5,1,2015-01-27,146,-0.0001,0.0017
0,A,1,2,2015-01-27,88,0.0053,0.0066
0,A,2,2,2015-01-27,108,0.0068,0.0156
0,A,3,2,2015-01-27,107,0.0136,0.0099
0,A,4,2,2015-01-27,97,0.0051,0.0080
0,A,5,2,2015-01-27,69,-0.0019,-0.0015
0,A,1,3,2015-01-27,119,0.0096,0.0096
0,A,2,3,2015-01-27,107,0.0149,0.0097
0,A,3,3,2015-01-27,96,0.0028,0.0110
0,A,4,3,2015-01-27,78,0.0080,0.0026
0,A,5,3,2015-01-27,70,0.0014,-0.0032
0,A,1,4,2015-01-27,113,0.0045,0.0108
0,A,2,4,2015-01-27,104,0.0100,0.0109
0,A,3,4,2015-01-27,100,0.0089,0.0084
0,A,4,4,2015-01-27,92,0.0079,0.0052
0,A,5,4,2015-01-27,60,0.0006,0.0070
0,A,1,5,2015-01-27,65,0.0084,0.0015
0,A,2,5,2015-01-27,97,0.0090,0.0074
0,A,3,5,2015-01-27,92,0.0008,0.0096
0,A,4,5,2015-01-27,91,0.0036,0.0040
0,A,5,5,2015-01-27,125,-0.0150,-0.0118
0,A,1,1,2015-01-28,84,-0.0042,0.0001
0,A,2,1,2015-01-28,53,-0.0041,-0.0130
0,A,3,1,2015-01-28,75,-0.0066,-0.0078
0,A,4,1,2015-01-28,111,-0.0093,-0.0057
0,A,5,1,2015-01-28,146,-0.0125,-0.0109
0,A,1,2,2015-01-28,88,-0.0010,-0.0012
0,A,2,2,2015-01-28,108,-0.0023,-0.0032
0,A,3,2,2015-01-28,107,-0.0037,-0.0074
0,A,4,2,2015-01-28,97,-0.0054,-0.0008
