date,cpi,iv,m1,gdp,m2,HS300_close,HS300_open,HS300_volume
2017-10-19,105.29194517840858,118.61990158480899,522138.93236747204,198718.9100442942,1661676.1584930597,3931.25,3940.58,106527252.0
2017-10-20,105.29287826080113,118.63882079736359,522456.6415899121,198737.17017680328,1661559.2397890897,3926.85,3918.53,72980180.0
2017-10-23,105.29498221580408,118.69531947787033,523412.1098902548,198793.9513348393,1661406.3769457776,3930.8,3930.89,81484980.0
2017-10-24,105.29545177008018,118.71406605232023,523731.3795347098,198813.54530768754,1661421.3870875395,3959.4,3926.23,93058154.0
2017-10-25,105.29580544232711,118.73276946724395,524051.0392846685,198833.4727406206,1661469.3794407344,3976.95,3958.17,88205458.0
2017-10-26,105.29604323254495,118.75142972264148,524371.089140131,198853.73363363853,1661550.3540053626,3993.58,3980.05,129895465.0
2017-10-27,105.29616514073366,118.77004681851284,524691.5291010974,198874.32798674118,1661664.310781424,4021.97,3992.55,126672846.0
2017-10-30,105.29583557312515,118.82563914896993,525655.1896170187,198938.11180655812,1662204.0743782064,4009.72,4022.16,157387603.0
2017-10-31,105.29549395319738,118.84408360673658,525977.19,198960.04000000004,1662449.96,4006.72,3995.39,109178779.0
2017-11-01,105.29503645124052,118.86248490497707,526299.5804884849,198982.30165352672,1662728.8278332266,3996.62,4007.91,130417380.0
2017-11-02,105.29446306725454,118.88084304369137,526622.3610824737,199004.8967671382,1663040.6778778862,3997.13,3994.09,126100579.0
2017-11-03,105.2937738012394,118.89915802287949,526945.5317819661,199027.82534083453,1663385.5101339787,3992.7,3992.35,129404439.0
2017-11-06,105.29101071101937,118.95384400328686,527917.3845134659,199098.61182243226,1664617.9001708557,4020.89,3989.18,122081159.0
2017-11-07,105.2898579168878,118.97198634437026,528242.1156349734,199122.87423646782,1665094.6612726804,4054.25,4022.4,152116663.0
2017-11-08,105.28858924072709,118.99008552592753,528567.2368619846,199147.47011058812,1665604.4045859387,4048.01,4051.49,150827719.0
2017-11-09,105.28720468253726,119.00814154795862,528892.7481944995,199172.39944479323,1666147.1301106298,4075.9,4043.07,121056335.0
2017-11-10,105.28570424231833,119.0261544104635,529218.6496325183,199197.66223908318,1666722.837846754,4111.91,4070.28,141817165.0
2017-11-13,105.2805076294868,119.07993404082114,530198.6945795967,199275.45138246182,1668647.8543237252,4128.07,4115.55,151446309.0
2017-11-14,105.27854366115137,119.09777426522133,530526.1564396303,199302.04801709094,1669355.4909055815,4099.35,4129.27,143236936.0
2017-11-15,105.27646381078685,119.11557133009535,530854.0084051678,199328.97811180487,1670096.1096988712,4073.67,4084.21,120635696.0
2017-11-16,105.27455311724374,119.13338487202658,531181.1235848814,199356.05617885833,1670843.014610393,4105.01,4063.49,121384414.0
2017-11-17,105.27309661937261,119.15127452759842,531506.3750874441,199383.09673050605,1671569.509546946,4120.85,4094.08,191784119.0
2017-11-20,105.27145229979104,119.20540017615758,532470.9475322246,199463.9932930144,1673626.5345067945,4143.83,4093.73,137447258.0
2017-11-21,105.2718125846078,119.22359428629184,532788.7443261823,199490.88378303897,1674271.3895434735,4217.7,4131.85,180350821.0
2017-11-22,105.27262706509651,119.24186451006672,533104.677442989,199517.73675765775,1674895.834605184,4227.57,4228.37,186477003.0
2017-11-23,105.27389574125723,119.26021084748221,533418.7468826445,199544.55221687077,1675499.869691926,4102.4,4213.38,178147228.0
2017-11-24,105.2756186130899,119.2786332985383,533730.9526451487,199571.330160678,1676083.4948036992,4104.2,4089.47,130858040.0
2017-11-27,105.28351240261975,119.33435733355019,534656.3878697547,199651.43889966496,1677711.910289208,4049.95,4088.93,143455268.0
2017-11-28,105.28705205714033,119.35308423916872,534961.1389236543,199678.06678184913,1678213.8955011074,4055.82,4034.21,102058095.0
2017-11-29,105.29104590733287,119.37188725842783,535264.0263004028,199704.65714862745,1678695.470738038,4053.75,4061.35,124553642.0
2017-11-30,105.29549395319738,119.39076639132756,535565.05,199731.21,1679156.636,4006.1,4034.01,107983345.0
2017-12-01,105.30039619473385,119.4097216378679,535864.2100224461,199757.72533596677,1679597.3912869934,3998.14,4003.56,97386913.0
2017-12-04,105.31782809337513,119.46704405933254,536750.5080268774,199837.0462514324,1680797.1972981622,4018.86,3989.05,102647219.0
2017-12-05,105.3245471175995,119.48630376043532,537042.2133407189,199863.4115257761,1681156.312685282,4040.17,4007.94,154087076.0
2017-12-06,105.33172033749584,119.50563957517866,537332.0549774091,199889.73928471393,1681495.0180974323,4015.82,4027.12,109286205.0
2017-12-07,105.33934775306415,119.52505150356266,537620.0329369482,199916.02952824603,1681813.3135346146,3971.06,4003.58,90254045.0
2017-12-08,105.34742936430445,119.54453954558724,537906.1472193361,199942.2822563724,1682111.1989968282,4003.38,3962.83,89282861.0
2017-12-11,105.37439937205716,119.60346035350463,538753.3080035928,200020.81534831668,1682882.3955336576,4069.5,4006.88,97148946.0
2017-12-12,105.38429776598534,119.62325285009163,539031.9675773759,200046.91801481985,1683098.6410959968,4016.02,4068.51,84338718.0
2017-12-13,105.39465035558547,119.64312146031924,539308.7634740081,200072.98316591728,1683294.4766833675,4050.09,4013.83,77546131.0
2017-12-14,105.4054571408576,119.6630661841875,539583.6956934889,200099.01080160897,1683469.9022957701,4026.15,4050.9,80768862.0
2017-12-15,105.4167181218017,119.68308702169631,539856.7642358185,200125.0009218948,1683624.9179332037,3980.86,4018.73,89044389.0
2017-12-18,105.45199616600091,119.7435496733922,540660.0466235079,200201.87832477965,1684147.1590920403,3985.29,3983.3,77853375.0
2017-12-19,105.46389305987461,119.76382068449618,540921.108927896,200226.88523252588,1684393.002762093,4035.33,3985.82,77528985.0
2017-12-20,105.47585052616752,119.78414971558504,541178.7903786873,200251.57690789417,1684675.9257680082,4030.49,4036.02,90604503.0
2017-12-21,105.48786856487959,119.80453676665871,541433.0909758816,200275.95335088446,1684995.9281097858,4067.85,4023.08,96836089.0
2017-12-22,105.49994717601089,119.82498183771726,541684.0107194792,200300.0145614968,1685353.0097874259,4054.6,4064.91,73473684.0
2017-12-25,105.53654644392006,119.886665170802,542416.4848286909,200370.30679906614,1686646.7308355214,4041.54,4057.42,91926962.0
2017-12-26,105.54886734472818,119.90734232179994,542653.8811579011,200393.10708016664,1687152.1298566114,4053.62,4040.62,91118790.0
2017-12-27,105.56124881795554,119.92807749278276,542887.8966335146,200415.59212888923,1687694.6082135644,3991.21,4045.28,105153577.0
2017-12-28,105.57369086360208,119.94887068375041,543118.5312555312,200437.76194523388,1688274.1659063792,4018.9,3993.0,118542886.0
2017-12-29,105.58619348166783,119.9697218947029,543345.7850239509,200459.6165292005,1688890.8029350569,4030.85,4022.88,90486683.0
2018-01-02,105.6368096781229,120.05370693836142,544220.9915616617,200543.88254128757,1691728.1444083927,4087.4,4045.21,146935435.0
2018-01-03,105.64961515828467,120.07484824923816,544431.3410620973,200564.16096336447,1692530.1781163828,4111.39,4091.46,151852218.0
2018-01-04,105.66248121086568,120.09604758009976,544638.3097089361,200584.1241530634,1693369.2911602356,4128.81,4114.12,134543794.0
2018-01-05,105.67540783586587,120.11730493094623,544841.8975021781,200603.77211038437,1694245.4835399508,4138.75,4133.34,149009872.0
2018-01-08,105.71455114538169,120.1814251033947,545432.3757603231,200660.82458807953,1697096.5366942713,4160.16,4140.85,173877666.0
2018-01-09,105.72772006005869,120.20291453418055,545622.4401391776,200679.21161588863,1698121.046417436,4189.3,4157.54,139034294.0
2018-01-10,105.74094954715494,120.22446198495126,545809.1236644356,200697.28341131983,1699182.6354764642,4207.81,4187.2,151121666.0
2018-01-11,105.75423960667038,120.24606745570684,545992.4263360966,200715.03997437307,1700281.3038713543,4205.59,4197.11,121578539.0
2018-01-12,105.76759023860501,120.26773094644724,546172.3481541607,200732.48130504834,1701417.0516021068,4225.0,4205.14,111354794.0
2018-01-15,105.80800556892419,120.3330695385776,546691.8284867724,200782.91390280647,1705046.77080954,4225.24,4229.84,170907897.0
2018-01-16,105.82181939346245,120.35498311610395,546852.2941427759,200799.15709019665,1706321.2345598089,4258.47,4215.62,161494963.0
2018-01-17,105.83724011090752,120.3770807615408,546967.84971147,200815.52454879638,1707565.5683784045,4248.12,4261.78,214311032.0
2018-01-18,105.8544886241862,120.3993804817347,547032.5624451814,200832.07906483233,1708770.170941393,4271.42,4259.38,172032846.0
2018-01-19,105.87356493329848,120.42188227668564,547046.4323439101,200848.8206383046,1709935.0422487746,4285.4,4281.94,209490570.0
2018-01-22,105.94176063563698,120.49060011008076,546782.9850301995,200900.1677033389,1713191.2686372763,4336.6,4276.48,174643195.0
2018-01-23,105.96814812808371,120.5139102040599,546593.4835889972,200917.6575065562,1714197.2149222295,4382.61,4346.89,201867585.0
2018-01-24,105.99636341636403,120.53742237279606,546353.139312812,200935.3343672097,1715163.4299515754,4389.89,4389.45,219818889.0
2018-01-25,106.02640650047796,120.56113661628929,546061.9522016443,200953.19828529956,1716089.9137253144,4365.08,4381.98,195374950.0
2018-01-26,106.05827738042548,120.58505293453955,545719.9222554938,200971.24926082563,1716976.6662434465,4381.3,4352.22,177227237.0
2018-01-29,106.16485679526974,120.6580143378326,544388.7754071456,201026.52453202143,1719398.5362641995,4302.02,4387.06,191100354.0
2018-01-30,106.2040388585517,120.68273895511103,543843.3741210642,201045.32373729258,1720126.3637599032,4256.1,4286.68,139034730.0
2018-01-31,106.24504871766729,120.70766564714654,543247.1300000001,201064.31,1720814.46,4275.9,4234.11,145210164.0
2018-02-01,106.28788637261647,120.73279441393905,542600.043043953,201083.48332014366,1721462.824984489,4245.9,4276.34,190002934.0
2018-02-02,106.33255182339924,120.75812525548861,541902.1132529232,201102.84369772353,1722071.4587133713,4271.23,4213.94,146066827.0
2018-02-05,106.47751495074927,120.83533022867962,539503.2668699377,201162.04717508092,1723658.9723663763,4274.15,4204.46,161347799.0
2018-02-06,106.52949158486646,120.86146936925736,538601.9657389768,201182.15578240587,1724108.6810728302,4148.89,4182.33,214910450.0
2018-02-07,106.58329601481731,120.88781058459216,537649.8217730335,201202.45144716708,1724518.6585236771,4050.5,4205.74,203127493.0
2018-02-08,106.63892824060173,120.91435387468402,536646.8349721073,201222.93416936463,1724888.9047189169,4012.05,4022.88,159269985.0
2018-02-09,106.69638826221976,120.9410992395329,535593.0053361984,201243.60394899838,1725219.4196585496,3840.65,3896.17,206349828.0
2018-02-12,106.87973510207553,121.02254778262181,532126.4594185753,201306.73563251726,1725972.5769438057,3890.1,3846.27,116182637.0
2018-02-13,106.944506307028,121.0501014464989,530869.2584427354,201328.1536418961,1726144.1668610102,3935.63,3925.6,112565885.0
2018-02-14,107.01110530781406,121.077857185133,529561.2146319128,201349.75870871113,1726276.0255226076,3966.96,3945.09,71081338.0
2018-02-22,107.40874430564116,121.28109280012063,520899.4645815586,201514.43676402135,1727572.3590188453,4052.73,4020.97,105811571.0
2018-02-23,107.43841515339824,121.30373838733752,520098.8356062865,201533.76845248826,1727790.7054407655,4071.09,4061.75,99458746.0
2018-02-26,107.50071566070775,121.36799666277939,518073.0683884998,201590.09275995987,1728520.8176863792,4118.42,4093.4,137881001.0
2018-02-27,107.51257848449033,121.38818992585708,517523.1858852474,201608.31060980735,1728789.212761535,4058.98,4120.87,125934470.0
